NEWID,String,OLDID
IDD_PPAGEPLAYBACK_IDC_STATIC5,Volume step:,IDD_PPAGEPLAYBACK_IDC_STATIC
IDD_PPAGEPLAYBACK_IDC_STATIC6,Speed step:,IDD_PPAGEPLAYBACK_IDC_STATIC
IDD_PPAGEPLAYBACK_IDC_STATIC7,Repeat mode:,IDD_PPAGEPLAYBACK_IDC_STATIC
IDD_PPAGEPLAYBACK_IDC_STATIC8,Subtitles:,IDD_PPAGEPLAYBACK_IDC_STATIC
IDD_PPAGEPLAYBACK_IDC_STATIC9,Audio:,IDD_PPAGEPLAYBACK_IDC_STATIC
IDD_PPAGESUBTITLES_IDC_STATIC9,Sub pictures to buffer:,IDD_PPAGESUBTITLES_IDC_STATIC
IDD_PPAGESUBTITLES_IDC_STATIC21,Maximum texture resolution:,IDD_PPAGESUBTITLES_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC1,Spacing,IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC2,"Angle (z,°)",IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC3,"Scale (x,%)",IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC4,"Scale (y,%)",IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC5,Width,IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC6,Shadow,IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC7,Left,IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC8,Right,IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC9,Top,IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBSTYLE_IDC_STATIC10,Bottom,IDD_PPAGESUBSTYLE_IDC_STATIC
IDD_PPAGESUBMISC_IDC_STATIC2,Languages in order of preference:,IDD_PPAGESUBMISC_IDC_STATIC
IDD_PPAGETHEME_IDC_STATIC3,Control buttons size:,IDD_PPAGETHEME_IDC_STATIC3
IDD_PPAGETHEME_IDC_STATIC22,Modern Seekbar height:,IDD_PPAGETHEME_IDC_STATIC
IDD_PPAGETHEME_IDC_STATIC6,Font:,IDD_PPAGETHEME_IDC_STATIC6
